Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.01.2024;CET;12:30;12:45;MW;0,000;0,000;0,000;0,000;0,000;14,404;17,396;13,700;3,220;48,720
01.01.2024;CET;12:45;13:00;MW;5,540;6,692;5,268;1,240;18,740;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;13:00;13:15;MW;23,596;28,496;22,440;5,276;79,808;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;13:15;13:30;MW;0,000;0,000;0,000;0,000;0,000;2,828;3,416;2,692;0,632;9,568
01.01.2024;CET;13:30;13:45;MW;9,112;11,008;8,668;2,040;30,828;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;13:45;14:00;MW;10,952;13,224;10,416;2,448;37,040;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;14:00;14:15;MW;0,000;0,000;0,000;0,000;0,000;11,412;13,780;10,852;2,552;38,596
01.01.2024;CET;14:15;14:30;MW;10,888;13,152;10,356;2,436;36,832;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;14:30;14:45;MW;9,700;11,716;9,228;2,168;32,812;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;14:45;15:00;MW;11,988;14,480;11,404;2,680;40,552;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;15:00;15:15;MW;10,288;12,424;9,784;2,300;34,796;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;15:15;15:30;MW;16,628;20,084;15,816;3,720;56,248;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;15:30;15:45;MW;65,036;78,548;61,860;14,544;219,988;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;15:45;16:00;MW;3,952;4,772;3,760;0,884;13,368;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;16:00;16:15;MW;0,000;0,000;0,000;0,000;0,000;26,136;30,028;23,940;5,628;85,732
01.01.2024;CET;16:15;16:30;MW;25,408;29,188;23,272;5,472;83,340;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;16:30;16:45;MW;17,108;19,656;15,672;3,684;56,120;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;16:45;17:00;MW;36,068;41,440;33,040;7,768;118,316;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;17:00;17:15;MW;0,000;0,000;0,000;0,000;0,000;2,900;3,332;2,656;0,624;9,512
01.01.2024;CET;17:15;17:30;MW;0,000;0,000;0,000;0,000;0,000;13,068;15,012;11,968;2,816;42,864
01.01.2024;CET;17:30;17:45;MW;7,388;8,488;6,768;1,592;24,236;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;17:45;18:00;MW;0,000;0,000;0,000;0,000;0,000;19,992;22,968;18,312;4,304;65,576
01.01.2024;CET;18:00;18:15;MW;0,000;0,000;0,000;0,000;0,000;13,040;14,984;11,948;2,808;42,780
01.01.2024;CET;18:15;18:30;MW;17,880;20,544;16,376;3,852;58,652;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;18:30;18:45;MW;0,000;0,000;0,000;0,000;0,000;4,348;4,996;3,984;0,936;14,264
01.01.2024;CET;18:45;19:00;MW;0,000;0,000;0,000;0,000;0,000;1,620;1,860;1,484;0,348;5,312
01.01.2024;CET;19:00;19:15;MW;0,000;0,000;0,000;0,000;0,000;2,888;3,320;2,648;0,624;9,480
01.01.2024;CET;19:15;19:30;MW;0,000;0,000;0,000;0,000;0,000;6,080;6,988;5,572;1,308;19,948
01.01.2024;CET;19:30;19:45;MW;0,000;0,000;0,000;0,000;0,000;15,416;17,712;14,120;3,320;50,568
01.01.2024;CET;19:45;20:00;MW;15,808;18,160;14,480;3,404;51,852;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;20:00;20:15;MW;51,476;60,508;47,420;11,148;170,552;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;20:15;20:30;MW;0,000;0,000;0,000;0,000;0,000;1,316;1,548;1,212;0,284;4,360
01.01.2024;CET;20:30;20:45;MW;0,000;0,000;0,000;0,000;0,000;23,044;27,088;21,228;4,992;76,352
01.01.2024;CET;20:45;21:00;MW;0,000;0,000;0,000;0,000;0,000;13,516;15,888;12,452;2,928;44,784
01.01.2024;CET;21:00;21:15;MW;32,924;38,704;30,332;7,132;109,092;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;21:15;21:30;MW;0,000;0,000;0,000;0,000;0,000;44,672;52,512;41,156;9,676;148,016
01.01.2024;CET;21:30;21:45;MW;0,000;0,000;0,000;0,000;0,000;19,376;22,776;17,848;4,196;64,196
01.01.2024;CET;21:45;22:00;MW;0,000;0,000;0,000;0,000;0,000;27,032;31,776;24,904;5,856;89,568
01.01.2024;CET;22:00;22:15;MW;17,280;20,316;15,920;3,744;57,260;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;22:15;22:30;MW;0,000;0,000;0,000;0,000;0,000;32,156;37,800;29,624;6,964;106,544
01.01.2024;CET;22:30;22:45;MW;0,000;0,000;0,000;0,000;0,000;7,128;8,380;6,568;1,544;23,620
01.01.2024;CET;22:45;23:00;MW;0,000;0,000;0,000;0,000;0,000;31,664;37,224;29,172;6,860;104,920
01.01.2024;CET;23:00;23:15;MW;11,896;13,984;10,960;2,576;39,416;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;23:15;23:30;MW;0,000;0,000;0,000;0,000;0,000;35,980;42,296;33,148;7,792;119,216
01.01.2024;CET;23:30;23:45;MW;0,000;0,000;0,000;0,000;0,000;33,208;39,036;30,592;7,192;110,028
01.01.2024;CET;23:45;00:00;MW;0,000;0,000;0,000;0,000;0,000;87,168;102,468;80,304;18,880;288,820
02.01.2024;CET;00:00;00:15;MW;0,000;0,000;0,000;0,000;0,000;28,140;33,672;26,072;6,132;94,016
02.01.2024;CET;00:15;00:30;MW;0,000;0,000;0,000;0,000;0,000;46,608;55,776;43,184;10,152;155,720
02.01.2024;CET;00:30;00:45;MW;0,000;0,000;0,000;0,000;0,000;37,840;45,284;35,060;8,244;126,428
02.01.2024;CET;00:45;01:00;MW;0,000;0,000;0,000;0,000;0,000;44,396;53,124;41,132;9,672;148,324
02.01.2024;CET;01:00;01:15;MW;13,932;16,672;12,908;3,036;46,548;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;01:15;01:30;MW;0,000;0,000;0,000;0,000;0,000;16,652;19,924;15,428;3,628;55,632
02.01.2024;CET;01:30;01:45;MW;0,000;0,000;0,000;0,000;0,000;6,212;7,436;5,756;1,352;20,756
02.01.2024;CET;01:45;02:00;MW;0,000;0,000;0,000;0,000;0,000;25,256;30,224;23,400;5,504;84,384
02.01.2024;CET;02:00;02:15;MW;7,392;8,844;6,848;1,612;24,696;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;02:15;02:30;MW;0,000;0,000;0,000;0,000;0,000;25,580;30,608;23,700;5,572;85,460
02.01.2024;CET;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;37,592;44,984;34,828;8,188;125,592
02.01.2024;CET;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;38,792;46,420;35,940;8,452;129,604
02.01.2024;CET;03:00;03:15;MW;0,000;0,000;0,000;0,000;0,000;18,472;22,104;17,116;4,024;61,716
02.01.2024;CET;03:15;03:30;MW;0,000;0,000;0,000;0,000;0,000;29,436;35,220;27,272;6,412;98,340
02.01.2024;CET;03:30;03:45;MW;0,000;0,000;0,000;0,000;0,000;19,864;23,768;18,404;4,328;66,364
02.01.2024;CET;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;36,512;43,692;33,832;7,956;121,992
02.01.2024;CET;04:00;04:15;MW;0,000;0,000;0,000;0,000;0,000;4,532;5,408;4,188;0,984;15,112
02.01.2024;CET;04:15;04:30;MW;0,000;0,000;0,000;0,000;0,000;13,004;15,516;12,012;2,824;43,356
02.01.2024;CET;04:30;04:45;MW;0,000;0,000;0,000;0,000;0,000;12,608;15,040;11,648;2,740;42,036
