Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.01.2024;CET;12:30;12:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;12:45;13:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;13:00;13:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;13:15;13:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;13:30;13:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;13:45;14:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;14:00;14:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;14:15;14:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;14:30;14:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;14:45;15:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;15:00;15:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;15:15;15:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;15:30;15:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;15:45;16:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;16:00;16:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;16:15;16:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;16:30;16:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;16:45;17:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;17:00;17:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;17:15;17:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;17:30;17:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;17:45;18:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;18:00;18:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;18:15;18:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;18:30;18:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;18:45;19:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;19:00;19:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;19:15;19:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;19:30;19:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;19:45;20:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;20:00;20:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;20:15;20:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;20:30;20:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;20:45;21:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;21:00;21:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;21:15;21:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;21:30;21:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;21:45;22:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;22:00;22:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;22:15;22:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;22:30;22:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;22:45;23:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;23:00;23:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;23:15;23:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;23:30;23:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;23:45;00:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;00:00;00:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;00:15;00:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;00:30;00:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;00:45;01:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;01:00;01:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;01:15;01:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;01:30;01:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;01:45;02:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;02:00;02:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;02:15;02:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;03:00;03:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;03:15;03:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;03:30;03:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;04:00;04:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;04:15;04:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;04:30;04:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;04:45;05:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;05:00;05:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;05:15;05:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;05:30;05:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;05:45;06:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;06:00;06:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;06:15;06:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;06:30;06:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;06:45;07:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;07:00;07:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;07:15;07:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;07:30;07:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;07:45;08:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;08:00;08:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;08:15;08:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;08:30;08:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;08:45;09:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;09:00;09:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;09:15;09:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;09:30;09:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;09:45;10:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;10:00;10:15;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;10:15;10:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;10:30;10:45;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;10:45;11:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
