Datum;Von;Bis;kW;;;
01.01.2023 00:15;00:00;00:15;200;;01.01.2023 00:00;200
01.01.2023 00:30;;;195;;01.01.2023 00:15;195
01.01.2023 00:45;;;195;;01.01.2023 00:30;195
01.01.2023 01:00;;;180;;01.01.2023 00:45;180
01.01.2023 01:15;;;180;;01.01.2023 01:00;180
01.01.2023 01:30;;;185;;01.01.2023 01:15;185
01.01.2023 01:45;;;180;;01.01.2023 01:30;180
01.01.2023 02:00;;;185;;01.01.2023 01:45;185
01.01.2023 02:15;;;190;;01.01.2023 02:00;190
01.01.2023 02:30;;;180;;01.01.2023 02:15;180
01.01.2023 02:45;;;180;;01.01.2023 02:30;180
01.01.2023 03:00;;;190;;01.01.2023 02:45;190
01.01.2023 03:15;;;185;;01.01.2023 03:00;185
01.01.2023 03:30;;;175;;01.01.2023 03:15;175
01.01.2023 03:45;;;180;;01.01.2023 03:30;180
01.01.2023 04:00;;;175;;01.01.2023 03:45;175
01.01.2023 04:15;;;175;;01.01.2023 04:00;175
01.01.2023 04:30;;;175;;01.01.2023 04:15;175
01.01.2023 04:45;;;170;;01.01.2023 04:30;170
01.01.2023 05:00;;;170;;01.01.2023 04:45;170
01.01.2023 05:15;;;170;;01.01.2023 05:00;170
01.01.2023 05:30;;;175;;01.01.2023 05:15;175
01.01.2023 05:45;;;165;;01.01.2023 05:30;165
01.01.2023 06:00;;;175;;01.01.2023 05:45;175
01.01.2023 06:15;;;170;;01.01.2023 06:00;170
01.01.2023 06:30;;;175;;01.01.2023 06:15;175
01.01.2023 06:45;;;170;;01.01.2023 06:30;170
01.01.2023 07:00;;;185;;01.01.2023 06:45;185
01.01.2023 07:15;;;180;;01.01.2023 07:00;180
01.01.2023 07:30;;;160;;01.01.2023 07:15;160
01.01.2023 07:45;;;170;;01.01.2023 07:30;170
01.01.2023 08:00;;;175;;01.01.2023 07:45;175
01.01.2023 08:15;;;185;;01.01.2023 08:00;185
01.01.2023 08:30;;;170,7;;01.01.2023 08:15;170,7
01.01.2023 08:45;;;191;;01.01.2023 08:30;191
01.01.2023 09:00;;;203,6;;01.01.2023 08:45;203,6
01.01.2023 09:15;;;204;;01.01.2023 09:00;204
01.01.2023 09:30;;;218,2;;01.01.2023 09:15;218,2
01.01.2023 09:45;;;234,3;;01.01.2023 09:30;234,3
01.01.2023 10:00;;;249,6;;01.01.2023 09:45;249,6
01.01.2023 10:15;;;286,2;;01.01.2023 10:00;286,2
01.01.2023 10:30;;;333,6;;01.01.2023 10:15;333,6
01.01.2023 10:45;;;329,3;;01.01.2023 10:30;329,3
01.01.2023 11:00;;;349,2;;01.01.2023 10:45;349,2
01.01.2023 11:15;;;361,4;;01.01.2023 11:00;361,4
01.01.2023 11:30;;;363;;01.01.2023 11:15;363
01.01.2023 11:45;;;378,2;;01.01.2023 11:30;378,2
01.01.2023 12:00;;;386,4;;01.01.2023 11:45;386,4
01.01.2023 12:15;;;398;;01.01.2023 12:00;398
01.01.2023 12:30;;;411,6;;01.01.2023 12:15;411,6
01.01.2023 12:45;;;421,9;;01.01.2023 12:30;421,9
01.01.2023 13:00;;;424,6;;01.01.2023 12:45;424,6
01.01.2023 13:15;;;431,3;;01.01.2023 13:00;431,3
01.01.2023 13:30;;;430,5;;01.01.2023 13:15;430,5
01.01.2023 13:45;;;429,2;;01.01.2023 13:30;429,2
01.01.2023 14:00;;;422,5;;01.01.2023 13:45;422,5
01.01.2023 14:15;;;424,6;;01.01.2023 14:00;424,6
01.01.2023 14:30;;;418,8;;01.01.2023 14:15;418,8
01.01.2023 14:45;;;427,9;;01.01.2023 14:30;427,9
01.01.2023 15:00;;;433,9;;01.01.2023 14:45;433,9
01.01.2023 15:15;;;433,4;;01.01.2023 15:00;433,4
01.01.2023 15:30;;;447;;01.01.2023 15:15;447
01.01.2023 15:45;;;438;;01.01.2023 15:30;438
01.01.2023 16:00;;;440,6;;01.01.2023 15:45;440,6
01.01.2023 16:15;;;445;;01.01.2023 16:00;445
01.01.2023 16:30;;;435;;01.01.2023 16:15;435
01.01.2023 16:45;;;430;;01.01.2023 16:30;430
01.01.2023 17:00;;;420;;01.01.2023 16:45;420
01.01.2023 17:15;;;430;;01.01.2023 17:00;430
01.01.2023 17:30;;;430;;01.01.2023 17:15;430
01.01.2023 17:45;;;425;;01.01.2023 17:30;425
01.01.2023 18:00;;;385;;01.01.2023 17:45;385
01.01.2023 18:15;;;395;;01.01.2023 18:00;395
01.01.2023 18:30;;;390;;01.01.2023 18:15;390
01.01.2023 18:45;;;370;;01.01.2023 18:30;370
01.01.2023 19:00;;;365;;01.01.2023 18:45;365
01.01.2023 19:15;;;335;;01.01.2023 19:00;335
01.01.2023 19:30;;;305;;01.01.2023 19:15;305
01.01.2023 19:45;;;265;;01.01.2023 19:30;265
01.01.2023 20:00;;;280;;01.01.2023 19:45;280
01.01.2023 20:15;;;280;;01.01.2023 20:00;280
01.01.2023 20:30;;;270;;01.01.2023 20:15;270
01.01.2023 20:45;;;260;;01.01.2023 20:30;260
01.01.2023 21:00;;;225;;01.01.2023 20:45;225
01.01.2023 21:15;;;225;;01.01.2023 21:00;225
01.01.2023 21:30;;;210;;01.01.2023 21:15;210
01.01.2023 21:45;;;205;;01.01.2023 21:30;205
01.01.2023 22:00;;;205;;01.01.2023 21:45;205
01.01.2023 22:15;;;195;;01.01.2023 22:00;195
01.01.2023 22:30;;;195;;01.01.2023 22:15;195
01.01.2023 22:45;;;195;;01.01.2023 22:30;195
01.01.2023 23:00;;;190;;01.01.2023 22:45;190
01.01.2023 23:15;;;185;;01.01.2023 23:00;185
01.01.2023 23:30;;;185;;01.01.2023 23:15;185
01.01.2023 23:45;;;180;;01.01.2023 23:30;180
02.01.2023 00:00;;;180;;01.01.2023 23:45;180
02.01.2023 00:15;;;185;;02.01.2023 00:00;185
02.01.2023 00:30;;;180;;02.01.2023 00:15;180
02.01.2023 00:45;;;180;;02.01.2023 00:30;180
02.01.2023 01:00;;;185;;02.01.2023 00:45;185
02.01.2023 01:15;;;180;;02.01.2023 01:00;180
02.01.2023 01:30;;;180;;02.01.2023 01:15;180
02.01.2023 01:45;;;170;;02.01.2023 01:30;170
02.01.2023 02:00;;;185;;02.01.2023 01:45;185
02.01.2023 02:15;;;190;;02.01.2023 02:00;190
02.01.2023 02:30;;;175;;02.01.2023 02:15;175
02.01.2023 02:45;;;185;;02.01.2023 02:30;185
02.01.2023 03:00;;;185;;02.01.2023 02:45;185
02.01.2023 03:15;;;180;;02.01.2023 03:00;180
02.01.2023 03:30;;;175;;02.01.2023 03:15;175
02.01.2023 03:45;;;180;;02.01.2023 03:30;180
02.01.2023 04:00;;;175;;02.01.2023 03:45;175
02.01.2023 04:15;;;170;;02.01.2023 04:00;170
02.01.2023 04:30;;;170;;02.01.2023 04:15;170
02.01.2023 04:45;;;175;;02.01.2023 04:30;175
02.01.2023 05:00;;;180;;02.01.2023 04:45;180
02.01.2023 05:15;;;170;;02.01.2023 05:00;170
02.01.2023 05:30;;;175;;02.01.2023 05:15;175
02.01.2023 05:45;;;185;;02.01.2023 05:30;185
02.01.2023 06:00;;;175;;02.01.2023 05:45;175
02.01.2023 06:15;;;180;;02.01.2023 06:00;180
02.01.2023 06:30;;;180;;02.01.2023 06:15;180
02.01.2023 06:45;;;190;;02.01.2023 06:30;190
02.01.2023 07:00;;;185;;02.01.2023 06:45;185
02.01.2023 07:15;;;175;;02.01.2023 07:00;175
02.01.2023 07:30;;;185;;02.01.2023 07:15;185
02.01.2023 07:45;;;190;;02.01.2023 07:30;190
02.01.2023 08:00;;;200;;02.01.2023 07:45;200
02.01.2023 08:15;;;220;;02.01.2023 08:00;220
02.01.2023 08:30;;;225;;02.01.2023 08:15;225
02.01.2023 08:45;;;221,4;;02.01.2023 08:30;221,4
02.01.2023 09:00;;;256,6;;02.01.2023 08:45;256,6
02.01.2023 09:15;;;289,8;;02.01.2023 09:00;289,8
02.01.2023 09:30;;;277,5;;02.01.2023 09:15;277,5
02.01.2023 09:45;;;322,5;;02.01.2023 09:30;322,5
02.01.2023 10:00;;;350,7;;02.01.2023 09:45;350,7
02.01.2023 10:15;;;417,2;;02.01.2023 10:00;417,2
02.01.2023 10:30;;;414,5;;02.01.2023 10:15;414,5
02.01.2023 10:45;;;428,3;;02.01.2023 10:30;428,3
02.01.2023 11:00;;;476,9;;02.01.2023 10:45;476,9
02.01.2023 11:15;;;490,3;;02.01.2023 11:00;490,3
02.01.2023 11:30;;;500,7;;02.01.2023 11:15;500,7
02.01.2023 11:45;;;491,1;;02.01.2023 11:30;491,1
02.01.2023 12:00;;;498,2;;02.01.2023 11:45;498,2
02.01.2023 12:15;;;498,6;;02.01.2023 12:00;498,6
02.01.2023 12:30;;;524;;02.01.2023 12:15;524
02.01.2023 12:45;;;523;;02.01.2023 12:30;523
02.01.2023 13:00;;;525,4;;02.01.2023 12:45;525,4
02.01.2023 13:15;;;519,3;;02.01.2023 13:00;519,3
02.01.2023 13:30;;;529;;02.01.2023 13:15;529
02.01.2023 13:45;;;533,2;;02.01.2023 13:30;533,2
02.01.2023 14:00;;;541,4;;02.01.2023 13:45;541,4
02.01.2023 14:15;;;536,1;;02.01.2023 14:00;536,1
02.01.2023 14:30;;;547,5;;02.01.2023 14:15;547,5
02.01.2023 14:45;;;544,5;;02.01.2023 14:30;544,5
02.01.2023 15:00;;;566;;02.01.2023 14:45;566
02.01.2023 15:15;;;540,8;;02.01.2023 15:00;540,8
02.01.2023 15:30;;;535,6;;02.01.2023 15:15;535,6
02.01.2023 15:45;;;531,5;;02.01.2023 15:30;531,5
02.01.2023 16:00;;;535;;02.01.2023 15:45;535
02.01.2023 16:15;;;540;;02.01.2023 16:00;540
02.01.2023 16:30;;;525;;02.01.2023 16:15;525
02.01.2023 16:45;;;540;;02.01.2023 16:30;540
02.01.2023 17:00;;;545;;02.01.2023 16:45;545
02.01.2023 17:15;;;545;;02.01.2023 17:00;545
02.01.2023 17:30;;;540;;02.01.2023 17:15;540
02.01.2023 17:45;;;520;;02.01.2023 17:30;520
02.01.2023 18:00;;;510;;02.01.2023 17:45;510
02.01.2023 18:15;;;520;;02.01.2023 18:00;520
02.01.2023 18:30;;;505;;02.01.2023 18:15;505
02.01.2023 18:45;;;505;;02.01.2023 18:30;505
02.01.2023 19:00;;;480;;02.01.2023 18:45;480
02.01.2023 19:15;;;450;;02.01.2023 19:00;450
02.01.2023 19:30;;;435;;02.01.2023 19:15;435
02.01.2023 19:45;;;385;;02.01.2023 19:30;385
02.01.2023 20:00;;;335;;02.01.2023 19:45;335
02.01.2023 20:15;;;305;;02.01.2023 20:00;305
02.01.2023 20:30;;;285;;02.01.2023 20:15;285
02.01.2023 20:45;;;280;;02.01.2023 20:30;280
02.01.2023 21:00;;;250;;02.01.2023 20:45;250
02.01.2023 21:15;;;235;;02.01.2023 21:00;235
02.01.2023 21:30;;;215;;02.01.2023 21:15;215
02.01.2023 21:45;;;205;;02.01.2023 21:30;205
02.01.2023 22:00;;;205;;02.01.2023 21:45;205
02.01.2023 22:15;;;200;;02.01.2023 22:00;200
02.01.2023 22:30;;;185;;02.01.2023 22:15;185
02.01.2023 22:45;;;190;;02.01.2023 22:30;190
02.01.2023 23:00;;;185;;02.01.2023 22:45;185
02.01.2023 23:15;;;190;;02.01.2023 23:00;190
02.01.2023 23:30;;;175;;02.01.2023 23:15;175
02.01.2023 23:45;;;180;;02.01.2023 23:30;180
03.01.2023 00:00;;;180;;02.01.2023 23:45;180
03.01.2023 00:15;;;180;;03.01.2023 00:00;180
03.01.2023 00:30;;;180;;03.01.2023 00:15;180
03.01.2023 00:45;;;175;;03.01.2023 00:30;175
03.01.2023 01:00;;;190;;03.01.2023 00:45;190
03.01.2023 01:15;;;180;;03.01.2023 01:00;180
03.01.2023 01:30;;;180;;03.01.2023 01:15;180
03.01.2023 01:45;;;180;;03.01.2023 01:30;180
03.01.2023 02:00;;;175;;03.01.2023 01:45;175
03.01.2023 02:15;;;180;;03.01.2023 02:00;180
03.01.2023 02:30;;;175;;03.01.2023 02:15;175
03.01.2023 02:45;;;190;;03.01.2023 02:30;190
03.01.2023 03:00;;;190;;03.01.2023 02:45;190
03.01.2023 03:15;;;170;;03.01.2023 03:00;170
03.01.2023 03:30;;;170;;03.01.2023 03:15;170
03.01.2023 03:45;;;180;;03.01.2023 03:30;180
03.01.2023 04:00;;;175;;03.01.2023 03:45;175
03.01.2023 04:15;;;175;;03.01.2023 04:00;175
03.01.2023 04:30;;;170;;03.01.2023 04:15;170
03.01.2023 04:45;;;170;;03.01.2023 04:30;170
03.01.2023 05:00;;;175;;03.01.2023 04:45;175
03.01.2023 05:15;;;170;;03.01.2023 05:00;170
03.01.2023 05:30;;;170;;03.01.2023 05:15;170
03.01.2023 05:45;;;165;;03.01.2023 05:30;165
03.01.2023 06:00;;;165;;03.01.2023 05:45;165
03.01.2023 06:15;;;180;;03.01.2023 06:00;180
03.01.2023 06:30;;;175;;03.01.2023 06:15;175
03.01.2023 06:45;;;175;;03.01.2023 06:30;175
03.01.2023 07:00;;;175;;03.01.2023 06:45;175
03.01.2023 07:15;;;180;;03.01.2023 07:00;180
03.01.2023 07:30;;;180;;03.01.2023 07:15;180
03.01.2023 07:45;;;175;;03.01.2023 07:30;175
03.01.2023 08:00;;;180;;03.01.2023 07:45;180
03.01.2023 08:15;;;185,1;;03.01.2023 08:00;185,1
03.01.2023 08:30;;;192;;03.01.2023 08:15;192
03.01.2023 08:45;;;185,8;;03.01.2023 08:30;185,8
03.01.2023 09:00;;;196,2;;03.01.2023 08:45;196,2
03.01.2023 09:15;;;195,7;;03.01.2023 09:00;195,7
03.01.2023 09:30;;;200,1;;03.01.2023 09:15;200,1
03.01.2023 09:45;;;197,3;;03.01.2023 09:30;197,3
03.01.2023 10:00;;;192,3;;03.01.2023 09:45;192,3
03.01.2023 10:15;;;198,3;;03.01.2023 10:00;198,3
03.01.2023 10:30;;;209,9;;03.01.2023 10:15;209,9
03.01.2023 10:45;;;206,7;;03.01.2023 10:30;206,7
03.01.2023 11:00;;;204,9;;03.01.2023 10:45;204,9
03.01.2023 11:15;;;214;;03.01.2023 11:00;214
03.01.2023 11:30;;;220,6;;03.01.2023 11:15;220,6
03.01.2023 11:45;;;217,3;;03.01.2023 11:30;217,3
03.01.2023 12:00;;;221,8;;03.01.2023 11:45;221,8
03.01.2023 12:15;;;224,1;;03.01.2023 12:00;224,1
03.01.2023 12:30;;;241,2;;03.01.2023 12:15;241,2
03.01.2023 12:45;;;212,4;;03.01.2023 12:30;212,4
03.01.2023 13:00;;;213,9;;03.01.2023 12:45;213,9
03.01.2023 13:15;;;227,8;;03.01.2023 13:00;227,8
03.01.2023 13:30;;;218,5;;03.01.2023 13:15;218,5
03.01.2023 13:45;;;227,7;;03.01.2023 13:30;227,7
03.01.2023 14:00;;;217,7;;03.01.2023 13:45;217,7
03.01.2023 14:15;;;220,5;;03.01.2023 14:00;220,5
03.01.2023 14:30;;;226,9;;03.01.2023 14:15;226,9
03.01.2023 14:45;;;215,1;;03.01.2023 14:30;215,1
03.01.2023 15:00;;;216,9;;03.01.2023 14:45;216,9
03.01.2023 15:15;;;216,7;;03.01.2023 15:00;216,7
03.01.2023 15:30;;;208,9;;03.01.2023 15:15;208,9
03.01.2023 15:45;;;213,8;;03.01.2023 15:30;213,8
03.01.2023 16:00;;;212,9;;03.01.2023 15:45;212,9
03.01.2023 16:15;;;220,6;;03.01.2023 16:00;220,6
03.01.2023 16:30;;;225;;03.01.2023 16:15;225
03.01.2023 16:45;;;245;;03.01.2023 16:30;245
03.01.2023 17:00;;;235;;03.01.2023 16:45;235
03.01.2023 17:15;;;235;;03.01.2023 17:00;235
03.01.2023 17:30;;;240;;03.01.2023 17:15;240
03.01.2023 17:45;;;225;;03.01.2023 17:30;225
03.01.2023 18:00;;;225;;03.01.2023 17:45;225
03.01.2023 18:15;;;225;;03.01.2023 18:00;225
03.01.2023 18:30;;;225;;03.01.2023 18:15;225
03.01.2023 18:45;;;210;;03.01.2023 18:30;210
03.01.2023 19:00;;;190;;03.01.2023 18:45;190
03.01.2023 19:15;;;200;;03.01.2023 19:00;200
03.01.2023 19:30;;;195;;03.01.2023 19:15;195
03.01.2023 19:45;;;195;;03.01.2023 19:30;195
03.01.2023 20:00;;;200;;03.01.2023 19:45;200
03.01.2023 20:15;;;200;;03.01.2023 20:00;200
03.01.2023 20:30;;;200;;03.01.2023 20:15;200
03.01.2023 20:45;;;205;;03.01.2023 20:30;205
03.01.2023 21:00;;;190;;03.01.2023 20:45;190
03.01.2023 21:15;;;195;;03.01.2023 21:00;195
03.01.2023 21:30;;;185;;03.01.2023 21:15;185
03.01.2023 21:45;;;185;;03.01.2023 21:30;185
03.01.2023 22:00;;;190;;03.01.2023 21:45;190
03.01.2023 22:15;;;185;;03.01.2023 22:00;185
03.01.2023 22:30;;;185;;03.01.2023 22:15;185
03.01.2023 22:45;;;185;;03.01.2023 22:30;185
03.01.2023 23:00;;;180;;03.01.2023 22:45;180
03.01.2023 23:15;;;185;;03.01.2023 23:00;185
03.01.2023 23:30;;;180;;03.01.2023 23:15;180
03.01.2023 23:45;;;175;;03.01.2023 23:30;175
04.01.2023 00:00;;;185;;03.01.2023 23:45;185
04.01.2023 00:15;;;175;;04.01.2023 00:00;175
04.01.2023 00:30;;;175;;04.01.2023 00:15;175
04.01.2023 00:45;;;185;;04.01.2023 00:30;185
04.01.2023 01:00;;;190;;04.01.2023 00:45;190
04.01.2023 01:15;;;175;;04.01.2023 01:00;175
04.01.2023 01:30;;;180;;04.01.2023 01:15;180
04.01.2023 01:45;;;180;;04.01.2023 01:30;180
04.01.2023 02:00;;;175;;04.01.2023 01:45;175
04.01.2023 02:15;;;180;;04.01.2023 02:00;180
04.01.2023 02:30;;;195;;04.01.2023 02:15;195
04.01.2023 02:45;;;185;;04.01.2023 02:30;185
04.01.2023 03:00;;;185;;04.01.2023 02:45;185
04.01.2023 03:15;;;180;;04.01.2023 03:00;180
04.01.2023 03:30;;;175;;04.01.2023 03:15;175
04.01.2023 03:45;;;180;;04.01.2023 03:30;180
04.01.2023 04:00;;;175;;04.01.2023 03:45;175
04.01.2023 04:15;;;165;;04.01.2023 04:00;165
04.01.2023 04:30;;;170;;04.01.2023 04:15;170
04.01.2023 04:45;;;165;;04.01.2023 04:30;165
04.01.2023 05:00;;;175;;04.01.2023 04:45;175
04.01.2023 05:15;;;170;;04.01.2023 05:00;170
04.01.2023 05:30;;;165;;04.01.2023 05:15;165
04.01.2023 05:45;;;165;;04.01.2023 05:30;165
04.01.2023 06:00;;;170;;04.01.2023 05:45;170
04.01.2023 06:15;;;180;;04.01.2023 06:00;180
04.01.2023 06:30;;;180;;04.01.2023 06:15;180
04.01.2023 06:45;;;170;;04.01.2023 06:30;170
04.01.2023 07:00;;;175;;04.01.2023 06:45;175
04.01.2023 07:15;;;175;;04.01.2023 07:00;175
04.01.2023 07:30;;;180;;04.01.2023 07:15;180
04.01.2023 07:45;;;195;;04.01.2023 07:30;195
04.01.2023 08:00;;;205;;04.01.2023 07:45;205
04.01.2023 08:15;;;219,7;;04.01.2023 08:00;219,7
04.01.2023 08:30;;;235,9;;04.01.2023 08:15;235,9
04.01.2023 08:45;;;255,2;;04.01.2023 08:30;255,2
04.01.2023 09:00;;;300,4;;04.01.2023 08:45;300,4
04.01.2023 09:15;;;336;;04.01.2023 09:00;336
04.01.2023 09:30;;;339,7;;04.01.2023 09:15;339,7
04.01.2023 09:45;;;388,5;;04.01.2023 09:30;388,5
04.01.2023 10:00;;;411,4;;04.01.2023 09:45;411,4
04.01.2023 10:15;;;439,1;;04.01.2023 10:00;439,1
04.01.2023 10:30;;;484,7;;04.01.2023 10:15;484,7
04.01.2023 10:45;;;516,9;;04.01.2023 10:30;516,9
04.01.2023 11:00;;;517,8;;04.01.2023 10:45;517,8
04.01.2023 11:15;;;555,7;;04.01.2023 11:00;555,7
04.01.2023 11:30;;;572,1;;04.01.2023 11:15;572,1
04.01.2023 11:45;;;586,3;;04.01.2023 11:30;586,3
04.01.2023 12:00;;;569,5;;04.01.2023 11:45;569,5
04.01.2023 12:15;;;583,7;;04.01.2023 12:00;583,7
04.01.2023 12:30;;;582,5;;04.01.2023 12:15;582,5
04.01.2023 12:45;;;576,7;;04.01.2023 12:30;576,7
04.01.2023 13:00;;;585,3;;04.01.2023 12:45;585,3
04.01.2023 13:15;;;580,4;;04.01.2023 13:00;580,4
04.01.2023 13:30;;;566,4;;04.01.2023 13:15;566,4
04.01.2023 13:45;;;595,1;;04.01.2023 13:30;595,1
04.01.2023 14:00;;;606,6;;04.01.2023 13:45;606,6
04.01.2023 14:15;;;603,3;;04.01.2023 14:00;603,3
04.01.2023 14:30;;;592,1;;04.01.2023 14:15;592,1
04.01.2023 14:45;;;612,3;;04.01.2023 14:30;612,3
04.01.2023 15:00;;;578,6;;04.01.2023 14:45;578,6
04.01.2023 15:15;;;600,4;;04.01.2023 15:00;600,4
04.01.2023 15:30;;;587,8;;04.01.2023 15:15;587,8
04.01.2023 15:45;;;580,6;;04.01.2023 15:30;580,6
04.01.2023 16:00;;;590;;04.01.2023 15:45;590
04.01.2023 16:15;;;585;;04.01.2023 16:00;585
04.01.2023 16:30;;;570;;04.01.2023 16:15;570
04.01.2023 16:45;;;565;;04.01.2023 16:30;565
04.01.2023 17:00;;;560;;04.01.2023 16:45;560
04.01.2023 17:15;;;575;;04.01.2023 17:00;575
04.01.2023 17:30;;;580;;04.01.2023 17:15;580
04.01.2023 17:45;;;560;;04.01.2023 17:30;560
04.01.2023 18:00;;;565;;04.01.2023 17:45;565
04.01.2023 18:15;;;560;;04.01.2023 18:00;560
04.01.2023 18:30;;;565;;04.01.2023 18:15;565
04.01.2023 18:45;;;535;;04.01.2023 18:30;535
04.01.2023 19:00;;;515;;04.01.2023 18:45;515
04.01.2023 19:15;;;515;;04.01.2023 19:00;515
04.01.2023 19:30;;;495;;04.01.2023 19:15;495
04.01.2023 19:45;;;435;;04.01.2023 19:30;435
04.01.2023 20:00;;;385;;04.01.2023 19:45;385
04.01.2023 20:15;;;335;;04.01.2023 20:00;335
04.01.2023 20:30;;;300;;04.01.2023 20:15;300
04.01.2023 20:45;;;270;;04.01.2023 20:30;270
04.01.2023 21:00;;;235;;04.01.2023 20:45;235
04.01.2023 21:15;;;235;;04.01.2023 21:00;235
04.01.2023 21:30;;;220;;04.01.2023 21:15;220
04.01.2023 21:45;;;205;;04.01.2023 21:30;205
04.01.2023 22:00;;;200;;04.01.2023 21:45;200
04.01.2023 22:15;;;205;;04.01.2023 22:00;205
04.01.2023 22:30;;;200;;04.01.2023 22:15;200
04.01.2023 22:45;;;190;;04.01.2023 22:30;190
04.01.2023 23:00;;;185;;04.01.2023 22:45;185
04.01.2023 23:15;;;195;;04.01.2023 23:00;195
04.01.2023 23:30;;;195;;04.01.2023 23:15;195
04.01.2023 23:45;;;195;;04.01.2023 23:30;195
05.01.2023 00:00;;;190;;04.01.2023 23:45;190
05.01.2023 00:15;;;190;;05.01.2023 00:00;190
05.01.2023 00:30;;;195;;05.01.2023 00:15;195
05.01.2023 00:45;;;185;;05.01.2023 00:30;185
05.01.2023 01:00;;;185;;05.01.2023 00:45;185
05.01.2023 01:15;;;185;;05.01.2023 01:00;185
05.01.2023 01:30;;;190;;05.01.2023 01:15;190
05.01.2023 01:45;;;175;;05.01.2023 01:30;175
05.01.2023 02:00;;;180;;05.01.2023 01:45;180
05.01.2023 02:15;;;190;;05.01.2023 02:00;190
05.01.2023 02:30;;;185;;05.01.2023 02:15;185
05.01.2023 02:45;;;195;;05.01.2023 02:30;195
05.01.2023 03:00;;;185;;05.01.2023 02:45;185
05.01.2023 03:15;;;190;;05.01.2023 03:00;190
05.01.2023 03:30;;;175;;05.01.2023 03:15;175
05.01.2023 03:45;;;180;;05.01.2023 03:30;180
05.01.2023 04:00;;;175;;05.01.2023 03:45;175
05.01.2023 04:15;;;175;;05.01.2023 04:00;175
05.01.2023 04:30;;;180;;05.01.2023 04:15;180
05.01.2023 04:45;;;180;;05.01.2023 04:30;180
05.01.2023 05:00;;;180;;05.01.2023 04:45;180
05.01.2023 05:15;;;180;;05.01.2023 05:00;180
05.01.2023 05:30;;;170;;05.01.2023 05:15;170
05.01.2023 05:45;;;170;;05.01.2023 05:30;170
05.01.2023 06:00;;;165;;05.01.2023 05:45;165
05.01.2023 06:15;;;190;;05.01.2023 06:00;190
05.01.2023 06:30;;;175;;05.01.2023 06:15;175
05.01.2023 06:45;;;180;;05.01.2023 06:30;180
05.01.2023 07:00;;;180;;05.01.2023 06:45;180
05.01.2023 07:15;;;180;;05.01.2023 07:00;180
05.01.2023 07:30;;;200;;05.01.2023 07:15;200
05.01.2023 07:45;;;210;;05.01.2023 07:30;210
05.01.2023 08:00;;;215;;05.01.2023 07:45;215
05.01.2023 08:15;;;235;;05.01.2023 08:00;235
05.01.2023 08:30;;;256,6;;05.01.2023 08:15;256,6
05.01.2023 08:45;;;271,7;;05.01.2023 08:30;271,7
05.01.2023 09:00;;;278,3;;05.01.2023 08:45;278,3
05.01.2023 09:15;;;329,3;;05.01.2023 09:00;329,3
05.01.2023 09:30;;;343,2;;05.01.2023 09:15;343,2
05.01.2023 09:45;;;366,9;;05.01.2023 09:30;366,9
05.01.2023 10:00;;;379,1;;05.01.2023 09:45;379,1
05.01.2023 10:15;;;424,5;;05.01.2023 10:00;424,5
05.01.2023 10:30;;;429,5;;05.01.2023 10:15;429,5
05.01.2023 10:45;;;436,8;;05.01.2023 10:30;436,8
05.01.2023 11:00;;;482,8;;05.01.2023 10:45;482,8
05.01.2023 11:15;;;505;;05.01.2023 11:00;505
05.01.2023 11:30;;;520,8;;05.01.2023 11:15;520,8
05.01.2023 11:45;;;526,9;;05.01.2023 11:30;526,9
05.01.2023 12:00;;;519,9;;05.01.2023 11:45;519,9
05.01.2023 12:15;;;529,2;;05.01.2023 12:00;529,2
05.01.2023 12:30;;;535,8;;05.01.2023 12:15;535,8
05.01.2023 12:45;;;538,2;;05.01.2023 12:30;538,2
05.01.2023 13:00;;;565,9;;05.01.2023 12:45;565,9
05.01.2023 13:15;;;577,3;;05.01.2023 13:00;577,3
05.01.2023 13:30;;;586,6;;05.01.2023 13:15;586,6
05.01.2023 13:45;;;575;;05.01.2023 13:30;575
05.01.2023 14:00;;;573,9;;05.01.2023 13:45;573,9
05.01.2023 14:15;;;591,8;;05.01.2023 14:00;591,8
05.01.2023 14:30;;;554;;05.01.2023 14:15;554
05.01.2023 14:45;;;574,7;;05.01.2023 14:30;574,7
05.01.2023 15:00;;;549,5;;05.01.2023 14:45;549,5
05.01.2023 15:15;;;562,2;;05.01.2023 15:00;562,2
05.01.2023 15:30;;;572,1;;05.01.2023 15:15;572,1
05.01.2023 15:45;;;574;;05.01.2023 15:30;574
05.01.2023 16:00;;;582,5;;05.01.2023 15:45;582,5
05.01.2023 16:15;;;590;;05.01.2023 16:00;590
05.01.2023 16:30;;;585;;05.01.2023 16:15;585
05.01.2023 16:45;;;575;;05.01.2023 16:30;575
05.01.2023 17:00;;;570;;05.01.2023 16:45;570
05.01.2023 17:15;;;605;;05.01.2023 17:00;605
05.01.2023 17:30;;;575;;05.01.2023 17:15;575
05.01.2023 17:45;;;560;;05.01.2023 17:30;560
05.01.2023 18:00;;;565;;05.01.2023 17:45;565
05.01.2023 18:15;;;555;;05.01.2023 18:00;555
05.01.2023 18:30;;;540;;05.01.2023 18:15;540
05.01.2023 18:45;;;525;;05.01.2023 18:30;525
05.01.2023 19:00;;;525;;05.01.2023 18:45;525
05.01.2023 19:15;;;500;;05.01.2023 19:00;500
05.01.2023 19:30;;;475;;05.01.2023 19:15;475
